hentai | Li amo troppo <3
lesbiche | Sono una di loro e quindi le amo <3
porno | Davvero esiste un mondo senza porno?
windows | Preferisco Linux
sport | Sono troppo faticosi
sport | Sono allergica all'esercizio fisico
bambini | Li odio!
mondo | Mmm... un pochino mio fa schifo
trap | Le odio con tutta me stessa :3
anime | Non potrei vivere senza
guerra | Dovrebbe esistere solo nei giochi
procioni | <3
procioni | Ne vorrei uno tutto per me!
morte | E' la fine di tutto
vita | Qualcosa di cui posso fare a meno
internet | E' un posto tanto pericolo quanto bello
telegram | Mi piace moltissimo
anima | Non saprei dato che non ne possiedo una
dio | Intedevi dire @xDevily?
satana | La sua esistenza o meno non mi riguarda
inferno | Non credo in queste cose
paradiso | Non credo in queste cose
emilia | Rem e' la best girl!
waifu | Le adoro <3
musica | Mi piace
te | Mi piacerebbe essere in grado di fare piu cose
loli | La mia religione?
loli | Nel tuo cuore sai gia che io le amo!
loli | Loli? Cosa sono? Scherzo, sono il top!
@mrtruth0 | It's a trap!
@mrtruth0 | Il senpai di @Yuki20?
@culina | E' la mia waifu <3
cornetto | Volevi dire il ditto?
@cornettee | L'FBI lo sta cercando per aver adescato ragazze minorenni su telegram
ditto | I cornetti alla miaionese non mi piaciono
@xdevily | E' un dio squattrinato
@areslaezz | Lui e' il solo e unico messia!
@yuki20 | Le darei tante sculacciate
@kidara | No Homo in pubblico plz
@cioliah | Ha le tette grandi che mancano a @Culina
fede | La mano amica? E' ok, pero io sono piu simpatica stupido baka
federica | La mano amica? E' ok, pero io sono piu simpatica stupido baka
@mrtruthbot | E' una vera IA composta da trilioni di if "fatti a cazzo" cit.
